word	translation	cognate
παύουσι	they stop.	N/A
πέμπει	he.she.or it sends (transitive).	N/A
πέμπουσι	they send.	N/A
ποταμός, -οὔ, ὃ	river.	HIPPOPOTAMUS
στρατηγός, -οὔ, ὃ	general.	STRATEGY
δίκαιος	just.	N/A
μακρός	large.	MACRON
μῑκρός	small	MICROSCOPIC
πόλεμος	war.	N/A
πολέμιος	hostile.	N/A
οἱ πολέμιοι	the enemy.	POLEMIC
φίλος	friend.	PHILANTHROPIST
γράφω	write.	TELEGRAPH
καί: conj.	conj.: and.also.even.	N/A
καλός	beautiful.honorable.fine.	N/A
κίνδυνος	danger.	N/A
λίθος	stone.	N/A
λύω	loose.break.destroy.	N/A
παύω	stop (trans.).ltgt	PAUSE
δέ (δ᾽ before vowels), postpos.2 conj	but.and.	N/A
δένδρον	tree.	RHODODENDRON
παρά, prep.	with G..from the side of with D..by the side of with A..to the side of.to.alongside.	PARALLEL
δῆλος	plain.evident.	N/A
δῶρον	gift.	THEODORE
εἰς, proclit. prep. with A.	into  (Lat.in).	N/A
πεδίον	plain.	N/A
στάδιον	stadium (race course) stade (600 ft.).3 ltgt	N/A
γάρ, postpos. conj.	for.	N/A
σπονδή	libation pl.treaty.truce.	SPONDEE
κώμη	village.	N/A
μάχῃ	battle.	LOGOMACHY
φεύγω	flee.Lat.fugio.	FUGITIVE
οὐ (before consonants), οὐκ (before smooth breathing), οὐχ (before rough breathing), proclit. adv.	not.	UTOPIA
φυγή	flight.exile.Lat fuga.	N/A
φυλακή	guard.garrison.	N/A
σκηνή	tent.	SCENE
φυλάττω	guard (verb).ltgt	N/A
δέκα	ten.	DECALOGUE
διά, prep.	with G..through  with A..on account of.	DIAMETER
φιλία	friendship.Cf.φίλος.	N/A
φίλιος, φιλία, φίλιον	friendly.	N/A
βάρβαρος	foreigner.barbarian.	N/A
κραυγή	outcry.shout.	N/A
λόγος	word.speech.	N/A
μέν	coord.conj.(§ 45).	N/A
σῑγή	silence.ltgt	N/A
μέλλω, μελλήσω	intend.delay.be about to.usually with fut.inf.	N/A
διώκω, διώξω	pursue.	N/A
θύρα: door αἱ θύραι	door αἱ θύραι: often used of military head-quarters or of the king#39s court (compare Sublime Porte).	THYROID
νομίζω	1 believe.think.with inf.	N/A
πείθω, πείσω	persuade.	N/A
λοιπός	left.remaining	N/A
τὸ λοιπόν: the future: κ.τ.λ. (καὶ τὰ λοιπά)	the future: κ.τ.λ.(καὶ τὰ λοιπά) : etc.	N/A
οἰκία	house.	ECONOMY
πύλη	gate pl..pass.	PYLON
λείπω, λείψω, ἔλιπον	leave.ltgt	ECLIPSE
δρόμος	a running.run.race.race course.	HIPPODROME
σπεύδω, σπεύσω, ἔσπευσα	hasten.ltgt	N/A
ος into us	N/A	N/A
αὐτός	same.self.he.she.it.they.etc.	AUTOMATON
βουλεύω, βουλεύσω, ἐβούλευσα	plan.	N/A
βουλή	plan.	BOULE
κελεύω, κελεύσω, ἐκέλευσα	order.command.	N/A
δια-βαίνω	ltgt cross.	N/A
δια-βατός	2 crossable.	N/A
συμ-βουλεύω	ltgt advise.with D.of	N/A
μεστός	full.full of.the person.with G.	N/A
οὗτος, αὕτη, τοῦτο	this (as aforesaid).	N/A
πλοῖον, πλοίου, τό	boat.	N/A
σῖτος, του, ὁ	grain.food.	PARASITE
σύν, prep. with D.	with.	SYNOD
βασίλεια	queen.	N/A
