PAI.1S,PAI.2S,PAI.3S,PAI.1P,PAI.2P,PAI.3P,IAI.1S,IAI.2S,IAI.3S,IAI.1P,IAI.2P,IAI.3P
ἔχω,ἔχεις,ἔχει,ἔχομεν,ἔχετε,ἔχουσι(ν),ἦχον,ἦχες,ἦχε(ν),ἤχομεν,ἤχετε,ἦχον
παύω,παύεις,παύει,παύομεν,παύετε,παύουσι(ν),ἔπαυον,ἔπαυες,ἔπαυε(ν),ἐπαύομεν,ἐπαύετε,ἔπαυον
πέμπω,πέμπεις,πέμπει,πέμπομεν,πέμπετε,πέμπουσι(ν),ἔπεμπον,ἔπεμπες,ἔπεμπε(ν),ἐπέμπομεν,ἐπέμπετε,ἔπεμπον
ἄγω,ἄγεις,ἄγει,ἄγομεν,ἄγετε,ἄγουσι(ν),ἄγον/ἦγον,ἄγες/ἦγες,ἄγε(ν)/ἦγε(ν),ἄγομεν/ἤγομεν,ἄγετε/ἤγετε,ἄγον/ἦγον
γράφω,γράφεις,γράφει,γράφομεν,γράφετε,γράφουσι(ν),ἔγραφον,ἔγραφες,ἔγραφε(ν),ἐγράφομεν,ἐγράφετε,ἔγραφον
ἐθέλω,ἐθέλεις,ἐθέλει,ἐθέλομεν,ἐθέλετε,ἐθέλουσι(ν),ἤθελον,ἤθελες,ἤθελε(ν),ἠθέλομεν,ἠθέλετε,ἤθελον
λύω,λύεις,λύει,λύομεν,λύετε,λύουσι(ν),ἔλυον,ἔλυες,ἔλυε(ν),ἐλύομεν,ἐλύετε,ἔλυον
παύω,παύεις,παύει,παύομεν,παύετε,παύουσι(ν),ἔπαυον,ἔπαυες,ἔπαυε(ν),ἐπαύομεν,ἐπαύετε,ἔπαυον
φυλάσσω,φυλάσσεις,φυλάσσει,φυλάσσομεν,φυλάσσετε,φυλάσσουσι(ν),ἐφύλασσον,ἐφύλασσες,ἐφύλασσε(ν),ἐφυλάσσομεν,ἐφυλάσσετε,ἐφύλασσον
ἀθροίζω,ἀθροίζεις,ἀθροίζει,ἀθροίζομεν,ἀθροίζετε,ἀθροίζουσι(ν),ἤθροιζον,ἤθροιζες,ἤθροιζε(ν),ἠθροίζομεν,ἠθροίζετε,ἤθροιζον
ἁρπάζω,ἁρπάζεις,ἁρπάζει,ἁρπάζομεν,ἁρπάζετε,ἁρπάζουσι(ν),ἤρπαζον,ἤρπαζες,ἤρπαζε(ν),ἠρπάζομεν,ἠρπάζετε,ἤρπαζον
ἄρχω,ἄρχεις,ἄρχει,ἄρχομεν,ἄρχετε,ἄρχουσι(ν),ἦρχον,ἦρχες,ἦρχε(ν),ἤρχομεν,ἤρχετε,ἦρχον
μέλλω,μέλλεις,μέλλει,μέλλομεν,μέλλετε,μέλλουσι(ν),ἔμελλον,ἔμελλες,ἔμελλε(ν),ἐμέλλομεν,ἐμέλλετε,ἔμελλον
διώκω,διώκεις,διώκει,διώκομεν,διώκετε,διώκουσι(ν),ἐδίωκον,ἐδίωκες,ἐδίωκε(ν),ἐδιώκομεν,ἐδιώκετε,ἐδίωκον
νομίζω,νομίζεις,νομίζει,νομίζομεν,νομίζετε,νομίζουσι(ν),ἐνόμιζον,ἐνόμιζες,ἐνόμιζε(ν),ἐνομίζομεν,ἐνομίζετε,ἐνόμιζον
πείθω,πείθεις,πείθει,πείθομεν,πείθετε,πείθουσι(ν),ἔπειθον,ἔπειθες,ἔπειθε(ν),ἐπείθομεν,ἐπείθετε,ἔπειθον
λείπω,λείπεις,λείπει,λείπομεν,λείπετε,λείπουσι(ν),ἔλειπον,ἔλειπες,ἔλειπε(ν),ἐλείπομεν,ἐλείπετε,ἔλειπον
